,teacher,available_time,available_day,subject,grade,priority,location
0,t_1,1,25,literature,g1,0,77
11,t_1,3,25,literature,g1,0,77
22,t_1,1,25,literature,g2,0,77
33,t_1,3,25,literature,g2,0,77
44,t_1,1,25,literature,g3,0,77
55,t_1,3,25,literature,g3,0,77
66,t_1,1,25,literature,g4,0,77
77,t_1,3,25,literature,g4,0,77
88,t_1,1,25,literature,g5,0,77
99,t_1,3,25,literature,g5,0,77
110,t_1,1,25,math,g1,0,77
121,t_1,3,25,math,g1,0,77
132,t_1,1,25,math,g2,0,77
143,t_1,3,25,math,g2,0,77
154,t_1,1,25,math,g3,0,77
165,t_1,3,25,math,g3,0,77
176,t_1,1,25,math,g4,0,77
187,t_1,3,25,math,g4,0,77
198,t_1,1,25,math,g5,0,77
209,t_1,3,25,math,g5,0,77
220,t_1,1,25,english,g1,0,77
231,t_1,3,25,english,g1,0,77
242,t_1,1,25,english,g2,0,77
253,t_1,3,25,english,g2,0,77
264,t_1,1,25,english,g3,0,77
275,t_1,3,25,english,g3,0,77
286,t_1,1,25,english,g4,0,77
297,t_1,3,25,english,g4,0,77
308,t_1,1,25,english,g5,0,77
319,t_1,3,25,english,g5,0,77
330,t_1,1,25,math,g6,0,77
341,t_1,3,25,math,g6,0,77
352,t_1,1,25,math,g7,0,77
363,t_1,3,25,math,g7,0,77
374,t_1,1,25,math,g8,0,77
385,t_1,3,25,math,g8,0,77
396,t_1,1,25,math,g9,0,77
407,t_1,3,25,math,g9,0,77
418,t_1,1,25,english,g6,0,77
429,t_1,3,25,english,g6,0,77
440,t_1,1,25,english,g7,0,77
451,t_1,3,25,english,g7,0,77
462,t_1,1,25,english,g8,0,77
473,t_1,3,25,english,g8,0,77
484,t_1,1,25,english,g9,0,77
495,t_1,3,25,english,g9,0,77
506,t_1,1,25,math,g10,0,77
517,t_1,3,25,math,g10,0,77
528,t_1,1,25,math,g11,0,77
539,t_1,3,25,math,g11,0,77
550,t_1,1,25,math,g12,0,77
561,t_1,3,25,math,g12,0,77
572,t_1,1,25,english,g10,0,77
583,t_1,3,25,english,g10,0,77
594,t_1,1,25,english,g11,0,77
605,t_1,3,25,english,g11,0,77
616,t_1,1,25,english,g12,0,77
627,t_1,3,25,english,g12,0,77
639,t_2,6,7,english,g1,0,77
650,t_2,7,7,english,g1,0,77
661,t_2,8,7,english,g1,0,77
672,t_2,9,7,english,g1,0,77
683,t_2,7,9,english,g1,0,77
694,t_2,8,9,english,g1,0,77
705,t_2,9,9,english,g1,0,77
716,t_2,6,10,english,g1,0,77
727,t_2,7,10,english,g1,0,77
738,t_2,8,10,english,g1,0,77
749,t_2,9,10,english,g1,0,77
760,t_2,7,11,english,g1,0,77
771,t_2,8,11,english,g1,0,77
782,t_2,9,11,english,g1,0,77
793,t_2,7,13,english,g1,0,77
804,t_2,8,13,english,g1,0,77
815,t_2,9,13,english,g1,0,77
826,t_2,6,14,english,g1,0,77
837,t_2,7,14,english,g1,0,77
848,t_2,8,14,english,g1,0,77
859,t_2,6,16,english,g1,0,77
870,t_2,7,16,english,g1,0,77
881,t_2,8,16,english,g1,0,77
892,t_2,6,17,english,g1,0,77
903,t_2,7,17,english,g1,0,77
914,t_2,8,17,english,g1,0,77
925,t_2,9,17,english,g1,0,77
936,t_2,6,18,english,g1,0,77
947,t_2,7,18,english,g1,0,77
958,t_2,8,18,english,g1,0,77
969,t_2,9,18,english,g1,0,77
980,t_2,6,19,english,g1,0,77
991,t_2,7,19,english,g1,0,77
1002,t_2,8,19,english,g1,0,77
1013,t_2,7,22,english,g1,0,77
1024,t_2,8,22,english,g1,0,77
1035,t_2,6,23,english,g1,0,77
1046,t_2,7,23,english,g1,0,77
1057,t_2,8,23,english,g1,0,77
1068,t_2,9,23,english,g1,0,77
1079,t_2,6,24,english,g1,0,77
1090,t_2,7,24,english,g1,0,77
1101,t_2,8,24,english,g1,0,77
1112,t_2,7,32,english,g1,0,77
1123,t_2,8,32,english,g1,0,77
1134,t_2,9,32,english,g1,0,77
1145,t_2,6,33,english,g1,0,77
1156,t_2,7,33,english,g1,0,77
1167,t_2,8,33,english,g1,0,77
1178,t_2,9,33,english,g1,0,77
1189,t_2,6,34,english,g1,0,77
1200,t_2,7,34,english,g1,0,77
1211,t_2,8,34,english,g1,0,77
1222,t_2,9,34,english,g1,0,77
1233,t_2,6,35,english,g1,0,77
1244,t_2,7,35,english,g1,0,77
1255,t_2,8,35,english,g1,0,77
1266,t_2,6,37,english,g1,0,77
1277,t_2,7,37,english,g1,0,77
1288,t_2,8,37,english,g1,0,77
1299,t_2,9,38,english,g1,0,77
1310,t_2,9,39,english,g1,0,77
1321,t_2,9,40,english,g1,0,77
1332,t_2,9,41,english,g1,0,77
1343,t_2,6,7,english,g2,0,77
1354,t_2,7,7,english,g2,0,77
1365,t_2,8,7,english,g2,0,77
1376,t_2,9,7,english,g2,0,77
1387,t_2,7,9,english,g2,0,77
1398,t_2,8,9,english,g2,0,77
1409,t_2,9,9,english,g2,0,77
1420,t_2,6,10,english,g2,0,77
1431,t_2,7,10,english,g2,0,77
1442,t_2,8,10,english,g2,0,77
1453,t_2,9,10,english,g2,0,77
1464,t_2,7,11,english,g2,0,77
1475,t_2,8,11,english,g2,0,77
1486,t_2,9,11,english,g2,0,77
1497,t_2,7,13,english,g2,0,77
1508,t_2,8,13,english,g2,0,77
1519,t_2,9,13,english,g2,0,77
1530,t_2,6,14,english,g2,0,77
1541,t_2,7,14,english,g2,0,77
1552,t_2,8,14,english,g2,0,77
1563,t_2,6,16,english,g2,0,77
1574,t_2,7,16,english,g2,0,77
1585,t_2,8,16,english,g2,0,77
1596,t_2,6,17,english,g2,0,77
1607,t_2,7,17,english,g2,0,77
1618,t_2,8,17,english,g2,0,77
1629,t_2,9,17,english,g2,0,77
1640,t_2,6,18,english,g2,0,77
1651,t_2,7,18,english,g2,0,77
1662,t_2,8,18,english,g2,0,77
1673,t_2,9,18,english,g2,0,77
1684,t_2,6,19,english,g2,0,77
1695,t_2,7,19,english,g2,0,77
1706,t_2,8,19,english,g2,0,77
1717,t_2,7,22,english,g2,0,77
1728,t_2,8,22,english,g2,0,77
1739,t_2,6,23,english,g2,0,77
1750,t_2,7,23,english,g2,0,77
1761,t_2,8,23,english,g2,0,77
1772,t_2,9,23,english,g2,0,77
1783,t_2,6,24,english,g2,0,77
1794,t_2,7,24,english,g2,0,77
1805,t_2,8,24,english,g2,0,77
1816,t_2,7,32,english,g2,0,77
1827,t_2,8,32,english,g2,0,77
1838,t_2,9,32,english,g2,0,77
1849,t_2,6,33,english,g2,0,77
1860,t_2,7,33,english,g2,0,77
1871,t_2,8,33,english,g2,0,77
1882,t_2,9,33,english,g2,0,77
1893,t_2,6,34,english,g2,0,77
1904,t_2,7,34,english,g2,0,77
1915,t_2,8,34,english,g2,0,77
1926,t_2,9,34,english,g2,0,77
1937,t_2,6,35,english,g2,0,77
1948,t_2,7,35,english,g2,0,77
1959,t_2,8,35,english,g2,0,77
1970,t_2,6,37,english,g2,0,77
1981,t_2,7,37,english,g2,0,77
1992,t_2,8,37,english,g2,0,77
2003,t_2,9,38,english,g2,0,77
2014,t_2,9,39,english,g2,0,77
2025,t_2,9,40,english,g2,0,77
2036,t_2,9,41,english,g2,0,77
2047,t_2,6,7,english,g3,0,77
2058,t_2,7,7,english,g3,0,77
2069,t_2,8,7,english,g3,0,77
2080,t_2,9,7,english,g3,0,77
2091,t_2,7,9,english,g3,0,77
