year,period,center_num,student_id,date,time_period,available_or_not,作成者ＩＤ,作成日,更新者ＩＤ,更新日
2022,1,77,2018002901,2022-07-23 0:00:00,5,0,129,2022-07-07 13:59:54,NULL,NULL
2022,1,77,2018002901,2022-07-23 0:00:00,6,0,129,2022-07-07 13:59:54,NULL,NULL
2022,1,77,2018002901,2022-07-23 0:00:00,7,0,129,2022-07-07 13:59:54,NULL,NULL
2022,1,77,2018002901,2022-07-23 0:00:00,8,0,129,2022-07-07 13:59:54,NULL,NULL
2022,1,77,2018002901,2022-07-23 0:00:00,9,0,129,2022-07-07 13:59:54,NULL,NULL
2022,1,77,2018002901,2022-07-23 0:00:00,10,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-25 0:00:00,5,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-25 0:00:00,6,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-25 0:00:00,7,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-25 0:00:00,8,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-25 0:00:00,9,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-25 0:00:00,10,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-26 0:00:00,5,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-26 0:00:00,6,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-26 0:00:00,7,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-26 0:00:00,8,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-26 0:00:00,9,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-26 0:00:00,10,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-27 0:00:00,5,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-27 0:00:00,6,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-27 0:00:00,7,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-27 0:00:00,8,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-27 0:00:00,9,1,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-27 0:00:00,10,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-29 0:00:00,5,0,129,2022-07-07 13:59:55,NULL,NULL
2022,1,77,2018002901,2022-07-29 0:00:00,6,0,129,2022-07-07 13:59:55,NULL,NULL
