,teacher,subject,unavailable_time,unavailable_day,priority,location,grade,available_time,available_day
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,2
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,3
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,4
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,5
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,7
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,8
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,10
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,11
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,0,12
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,2
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,3
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,4
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,5
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,7
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,8
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,10
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,11
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g1,5,12
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,2
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,3
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,4
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,5
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,7
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,8
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,10
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,11
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,0,12
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,2
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,3
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,4
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,5
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,7
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,8
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,10
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,11
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g2,5,12
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,2
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,3
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,4
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,5
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,7
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,8
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,10
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,11
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,0,12
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,2
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,3
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,4
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,5
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,7
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,8
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,10
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,11
0,t_1,math,"1,2,3,4","9,0,1,6,13",1,a,g3,5,12
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,2
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,3
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,4
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,5
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,7
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,8
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,10
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,11
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,0,12
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,2
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,3
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,4
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,5
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,7
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,8
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,10
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,11
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g1,5,12
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,2
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,3
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,4
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,5
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,7
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,8
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,10
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,11
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,0,12
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,2
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,3
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,4
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,5
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,7
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,8
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,10
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,11
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g2,5,12
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,2
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,3
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,4
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,5
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,7
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,8
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,10
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,11
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,0,12
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,2
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,3
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,4
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,5
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,7
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,8
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,10
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,11
0,t_1,science,"1,2,3,4","9,0,1,6,13",1,a,g3,5,12
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,1
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,2
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,3
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,4
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,5
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,7
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,8
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,9
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,11
1,t_2,english,"3,4","6,10,13,0",2,b,g4,0,12
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,1
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,2
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,3
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,4
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,5
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,7
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,8
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,9
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,11
1,t_2,english,"3,4","6,10,13,0",2,b,g4,1,12
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,1
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,2
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,3
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,4
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,5
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,7
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,8
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,9
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,11
1,t_2,english,"3,4","6,10,13,0",2,b,g4,2,12
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,1
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,2
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,3
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,4
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,5
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,7
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,8
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,9
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,11
1,t_2,english,"3,4","6,10,13,0",2,b,g4,5,12
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,1
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,2
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,3
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,4
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,5
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,7
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,8
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,9
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,11
1,t_2,english,"3,4","6,10,13,0",2,b,g5,0,12
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,1
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,2
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,3
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,4
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,5
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,7
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,8
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,9
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,11
1,t_2,english,"3,4","6,10,13,0",2,b,g5,1,12
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,1
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,2
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,3
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,4
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,5
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,7
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,8
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,9
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,11
1,t_2,english,"3,4","6,10,13,0",2,b,g5,2,12
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,1
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,2
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,3
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,4
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,5
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,7
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,8
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,9
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,11
1,t_2,english,"3,4","6,10,13,0",2,b,g5,5,12
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,1
