,Unnamed: 0,day,shift,subject,level,student,teacher,is_primary_slot,actual_subject,slot_type,is_prefer
0,0,2,4,english,elemetary,st_8,Teacher_11,0,english,sd_slot,0
1,1,2,4,english,elemetary,st_13,Teacher_11,0,english,seasonal_slot,0
2,2,2,4,english,elemetary,st_20,Teacher_11,0,english,sd_slot,0
3,3,2,1,literature,middle,st_22,Teacher_3,1,literature,sd_slot,0
4,4,2,1,literature,middle,st_23,Teacher_3,1,literature,seasonal_slot,1
5,5,2,2,math,middle,st_23,Teacher_8,1,math,sd_slot,0
6,6,2,3,science,middle,st_24,Teacher_8,1,science,seasonal_slot,0
7,7,2,1,science,middle,st_26,Teacher_8,1,science,seasonal_slot,0
8,8,3,1,math,middle,st_22,Teacher_12,1,math,seasonal_slot,0
9,9,3,2,social_science,middle,st_23,Teacher_2,1,social_science,seasonal_slot,0
10,10,3,3,math,middle,st_24,Teacher_12,1,math,seasonal_slot,0
11,11,4,4,english,elemetary,st_1,Teacher_11,0,english,seasonal_slot,0
12,12,4,4,english,elemetary,st_13,Teacher_11,0,english,seasonal_slot,0
13,13,4,1,english,middle,st_22,Teacher_2,1,english,seasonal_slot,1
14,14,4,1,english,middle,st_23,Teacher_2,1,english,sd_slot,0
15,15,4,2,social_science,middle,st_23,Teacher_2,1,social_science,seasonal_slot,0
16,16,4,3,science,middle,st_24,Teacher_13,1,science,seasonal_slot,0
17,17,4,1,english,middle,st_26,Teacher_2,1,english,seasonal_slot,0
18,18,5,4,english,elemetary,st_5,Teacher_11,0,english,seasonal_slot,0
19,19,5,1,english,middle,st_22,Teacher_2,1,english,seasonal_slot,1
20,20,5,3,science,middle,st_24,Teacher_13,1,science,sd_slot,0
21,21,5,1,english,middle,st_26,Teacher_9,1,english,sd_slot,0
22,22,6,4,english,elemetary,st_4,Teacher_11,0,english,seasonal_slot,0
23,23,6,4,english,elemetary,st_16,Teacher_11,0,english,seasonal_slot,0
24,24,6,4,english,elemetary,st_20,Teacher_11,0,english,sd_slot,0
25,25,6,1,english,middle,st_22,Teacher_2,1,english,seasonal_slot,1
26,26,7,4,english,elemetary,st_4,Teacher_11,0,english,seasonal_slot,0
27,27,7,4,english,elemetary,st_9,Teacher_11,0,english,sd_slot,0
28,28,7,4,english,elemetary,st_20,Teacher_11,0,english,sd_slot,0
29,29,7,2,english,middle,st_23,Teacher_2,1,english,sd_slot,0
30,30,7,1,social_science,middle,st_23,Teacher_13,1,social_science,sd_slot,0
31,31,9,4,english,elemetary,st_1,Teacher_11,0,english,seasonal_slot,0
32,32,9,4,english,elemetary,st_12,Teacher_11,0,english,sd_slot,0
33,33,9,1,math,middle,st_22,Teacher_12,1,math,seasonal_slot,0
34,34,10,4,english,elemetary,st_5,Teacher_11,0,english,sd_slot,0
35,35,10,4,english,elemetary,st_12,Teacher_11,0,english,sd_slot,0
36,36,10,4,english,elemetary,st_17,Teacher_11,0,english,seasonal_slot,0
37,37,10,2,social_science,middle,st_23,Teacher_2,1,social_science,sd_slot,0
38,38,10,1,science,middle,st_23,Teacher_13,1,science,seasonal_slot,0
39,39,10,3,math,middle,st_24,Teacher_12,1,math,seasonal_slot,0
40,40,10,1,english,middle,st_26,Teacher_9,1,english,sd_slot,0
41,41,11,4,english,elemetary,st_4,Teacher_11,0,english,sd_slot,0
42,42,11,4,english,elemetary,st_13,Teacher_11,0,english,seasonal_slot,0
43,43,11,4,english,elemetary,st_16,Teacher_11,0,english,seasonal_slot,0
44,44,11,1,math,middle,st_22,Teacher_12,1,math,seasonal_slot,0
45,45,11,2,math,middle,st_23,Teacher_8,1,math,sd_slot,0
46,46,11,1,science,middle,st_23,Teacher_8,1,science,seasonal_slot,0
47,47,11,3,science,middle,st_24,Teacher_8,0,science,sd_slot,0
48,48,11,1,english,middle,st_26,Teacher_2,1,english,sd_slot,0
49,49,12,1,math,middle,st_22,Teacher_12,1,math,sd_slot,0
50,50,12,3,science,middle,st_24,Teacher_8,0,science,sd_slot,0
51,51,12,1,math,middle,st_26,Teacher_12,1,math,seasonal_slot,0
52,52,13,4,english,elemetary,st_1,Teacher_11,0,english,seasonal_slot,0
53,53,13,4,english,elemetary,st_5,Teacher_11,0,english,sd_slot,0
54,54,13,1,social_science,middle,st_22,Teacher_13,1,social_science,sd_slot,0
55,55,13,1,english,middle,st_26,Teacher_2,1,english,sd_slot,0
56,56,14,4,english,elemetary,st_1,Teacher_11,0,english,sd_slot,0
57,57,14,4,english,elemetary,st_16,Teacher_11,0,english,sd_slot,0
58,58,14,4,english,elemetary,st_17,Teacher_11,0,english,sd_slot,0
59,59,14,1,social_science,middle,st_23,Teacher_13,1,social_science,sd_slot,0
60,60,14,3,social_science,middle,st_24,Teacher_13,0,social_science,sd_slot,0
61,61,14,1,math,middle,st_26,Teacher_12,1,math,sd_slot,0
